seq_no,instn_code,instn_name,instn_srvc_type_cde,instn_srvc_type,instn_blk_hse_no,instn_street_name,instn_flr_no,instn_unit_no,instn_bldg_name,instn_pc,instn_ofc_no,instn_email,ap_user_name
201500000250,15D0151,SIMPLY DENTAL,HC,Healthcare Institution,212.0,LORONG 8 TOA PAYOH,1.0,35.0,,310212,62500129.0,,
201500000244,15C0147,MISSION (HOUGANG) MEDICAL CLINIC,HC,Healthcare Institution,356.0,HOUGANG AVE 7,1.0,799.0,,530356,62814567.0,,
201500000242,15M0146,ISLAND FAMILY CLINIC (SENGKANG),HC,Healthcare Institution,279.0,SENGKANG EAST AVENUE,1.0,5.0,,540279,63842759.0,ifcsengkang@gmail.com,
201500000240,SK0004,SKOOL4KIDZ CENTRE,CC,Childcare Centre,,YISHUN AVENUE 11,1.0,376.0,,761430,67105137.0,YISHUNCC@SKOOL4KIDZ.COM.SG,
201500000239,15D0140,NEO SMILES DENTAL STUDIO,HC,Healthcare Institution,214.0,BEDOK NORTH STREET 1,1.0,153.0,,460214,64810800.0,hello@neosmiles.com.sg,
201500000237,15D0139,EPISMILE (BT BATOK) DENTAL GROUP PTE LTD,HC,Healthcare Institution,275.0,BUKIT BATOK EAST AVENUE 4,1.0,130.0,,650275,66659300.0,jeekuan71@gmail.com,
201500000238,15D0142,LVDA DENTAL CENTRE,HC,Healthcare Institution,,UPPER THOMSON ROAD,,,,574357,64520498.0,,
201500000234,15D0137,Q & M DENTAL SURGERY (BEDOK),HC,Healthcare Institution,311.0,NEW UPPER CHANGI ROAD,2.0,1.0,BEDOK MALL,467360,63846288.0,,
201500000232,PT9585,CEDAN KINDERGARTEN,KN,Kindergarten,198.0,PUNGGOL FIELD,2.0,2.0,,820198,98567589.0,enquiry@cedankindergarten.com.sg,
201500000222,PT9140,STAR LEARNERS @ BOON KENG PTE. LTD.,CC,Childcare Centre,5.0,BOON KENG ROAD,1.0,84.0,,330005,62500173.0,mengwei.tan@starlearners.com.sg,
201500000220,15M0124,RAFFLESMEDICAL,HC,Healthcare Institution,585.0,NORTH BRIDGE ROAD,,,"LEVEL 2, RAFFLES HOSPITAL",188770,63112233.0,bugis@rafflesmedical.com,
201500000219,15M0125,RAFFLES EXECUTIVE MEDICAL CENTRE,HC,Healthcare Institution,585.0,NORTH BRIDGE ROAD,,,"LEVEL 12, RAFFLES HOSPITAL",188770,63112288.0,remc@rafflesmedical.com,
201500000215,PT9139,MLC (BISHAN) PTE. LTD.,CC,Childcare Centre,201.0,BISHAN STREET 23,1.0,467.0,,570201,64559677.0,admin201@mylittlecampus.com.sg,
201500000214,PT9138,MLC (CANBERRA) PTE. LTD.,CC,Childcare Centre,482.0,ADMIRALTY LINK,1.0,1.0,,750482,67535332.0,admin482@mylittlecampus.com.sg,
201500000210,YM0155,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,,SENGKANG EAST AVENUE,1.0,605.0,,542281,63842870.0,cccpv.ancilla@myworld.org.sg,
201500000208,PT9137,MLC (SEMBAWANG) PTE. LTD.,CC,Childcare Centre,406.0,SEMBAWANG DRIVE,1.0,828.0,,750406,67552278.0,admin406@mylittlecampus.com.sg,
201500000209,ST0151,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG BLK 277 (CC),CC,Childcare Centre,277.0,YISHUN STREET 22,1.0,294.0,,760277,67563057.0,ho.sau.kuen@pcf.org.sg,
201500000207,PT9136,MLC (WELLINGTON) PTE. LTD.,CC,Childcare Centre,511.0,CANBERRA ROAD,3.0,1.0,SEMBAWANG MART,750511,68533089.0,admin511@mylittlecampus.com.sg,
201500000206,PT9135,MLC (YISHUN) PTE. LTD.,CC,Childcare Centre,849.0,YISHUN RING ROAD,2.0,3701.0,,760849,67561669.0,admin849@mylittlecampus.com.sg,
201500000205,PT9134,MLC (PASIR RIS) PTE. LTD,CC,Childcare Centre,735.0,PASIR RIS STREET 72,2.0,344.0,PASIR RIS WEST PLAZA,510735,65824898.0,admin735@mylittlecampus.com.sg,
201500000204,PT9133,POSSO PRESCHOOL @ BIG BOX PTE. LTD.,CC,Childcare Centre,1.0,VENTURE AVENUE,4.0,11.0,BIG BOX,608521,86879980.0,charmaine.ng@POSSOPRESCHOOL.COM,
201500000200,15M0115,RAFFLESMEDICAL,HC,Healthcare Institution,3.0,SIMEI STREET 6,2.0,27.0,EASTPOINT MALL,528833,66361458.0,eastpoint@rafflesmedical.com,
201500000198,RC1766,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE,CC,Childcare Centre,,JURONG WEST STREET 65,1.0,237.0,,643663,63165103.0,jurongwest.chc@merculearning.com,
201500000197,PT9131,ICHIBAN MONTESSORI CHILDCARE CENTRE (FERNVALE) PTE. LTD.,CC,Childcare Centre,439.0,SENGKANG WEST AVENUE,1.0,1.0,,790439,66349138.0,icb_631@yahoo.com,
201500000196,PT9130,MINDCHAMPS PRESCHOOL @JUNCTION 10 PTE LIMITED,CC,Childcare Centre,1.0,WOODLANDS ROAD,2.0,15.0,THE TENNERY,677899,67672381.0,michelleseow@mindchamps.org,
201500000195,15D0114,Q & M DENTAL SURGERY (PASIR RIS MRT),HC,Healthcare Institution,10.0,PASIR RIS CENTRAL,1.0,22.0,PASIR RIS MRT STATION,519634,65838313.0,,
201500000194,15M0113,PROCROSS MEDICAL CLINIC,HC,Healthcare Institution,,WOODLANDS DRIVE 75,1.0,86.0,,731689,62199648.0,calebho79@hotmail.com,
201500000192,15D0111,ADVENT DENTAL SURGERY PTE. LTD.,HC,Healthcare Institution,,JURONG WEST AVENUE 1,1.0,907.0,,641530,66596778.0,drsharonleng@gmail.com,
201500000193,15D0112,THE BRACES PRACTICE,HC,Healthcare Institution,,LORONG MAMBONG,,,HOLLAND VILLAGE,277676,64632306.0,,
201500000186,SS20150188,INFINITY OPTICAL,OS,Optical Shop,683.0,TESSENSOHN ROAD,1.0,33.0,,210683,63415313.0,infinityop@yahoo.com.sg,
201500000179,PT9129,GLOBALKIDS EDU PTE LTD,CC,Childcare Centre,19.0,SERANGOON NORTH AVENUE 5,3.0,3.0,,554913,64811389.0,discoveryglobalkids@gmail.com,
201500000176,15M0102,DR. TAN & PARTNERS @ SCOTTS,HC,Healthcare Institution,9.0,SCOTTS ROAD,6.0,6.0,PACIFIC PLAZA,228210,66942348.0,JUSTINS11@DRTANANDPARTNERS.COM,
201500000172,15D0099,JESSELTON DENTAL CENTRE,HC,Healthcare Institution,9.0,SCOTTS ROAD,6.0,5.0,PACIFIC PLAZA,228210,67342234.0,info@jesseltondentalcentre.com,
201500000173,15D0096,NUFFIELD DENTAL SIGLAP PRIVATE LIMITED,HC,Healthcare Institution,914.0,EAST COAST ROAD,1.0,3.0,THE DOMAIN,459108,66361303.0,siglap@nuffieldheathcare.com.sg,
201500000170,PT9128,ICHIBAN MONTESSORI CHILDCARE CENTRE (CCK) PTE LTD,CC,Childcare Centre,427.0,CHOA CHU KANG AVENUE 4,,,,680427,67655957.0,icb_631@yahoo.com,
201500000169,PT9127,BUSY BEES SINGAPORE PTE.LTD,CC,Childcare Centre,6.0,SERANGOON NORTH AVENUE 5,2.0,1.0,,554910,62579201.0,karenlee@smallwonder.com.sg,
201500000167,MCPH11500182,WATSON'S PERSONAL CARE STORES PTE LTD (VIVO CITY),PH,Pharmacy,1.0,HARBOURFRONT WALK,,,VIVO CITY,98585,63768084.0,187@watsons.com.sg,
201500000166,CPE318992,MELBOURNE SPECIALIST INTERNATIONAL SCHOOL PTE LTD,KP,CPE Kindergarten,970.0,TOA PAYOH NORTH,6.0,1.0,,318992,62554230.0,finance@whitelodge.com.sg,
201500000164,PT9125,TOTS N TOYS PTE LTD,CC,Childcare Centre,16.0,BOON LAY WAY,1.0,40.0,TRADEHUB 21,609965,83229228.0,ENQUIRY@TOTSNTOYS.COM.SG,
201500000161,15M0092,NUFFIELD MEDICAL SIGLAP,HC,Healthcare Institution,914.0,EAST COAST ROAD,1.0,3.0,THE DOMAIN,459108,66363083.0,siglap@nuffieldmedical.com.sg,
201500000160,ST0150,PCF SPARKLETOTS PRESCHOOL @ SEMBAWANG BLK 780D (CC),CC,Childcare Centre,,WOODLANDS CRESCENT,1.0,65.0,,734780,63975675.0,Cindy.Sim@pcf.org.sg,
201500000159,ST0149,PCF SPARKLETOTS PRESCHOOL @ GAMBAS BLK 333D (CC),CC,Childcare Centre,,YISHUN STREET 31,1.0,151.0,,764333,67107550.0,bintus.sadaa.binte.abdul.talib@pcf.org.sg,
201500000158,PT9124,SUPERLAND PRE-SCHOOL (OUTRAM) PTE LTD,CC,Childcare Centre,240.0,OUTRAM ROAD,,,,169043,62215110.0,outram@superland.sg,
201500000155,15D0091,DENTAL FOCUS JURONG WEST CLINIC,HC,Healthcare Institution,959.0,JURONG WEST STREET 92,1.0,162.0,,640959,67913189.0,PIONEER@SMILESDFI.COM,
201500000152,15D0087,HEALTHWAY DENTAL,HC,Healthcare Institution,721.0,ANG MO KIO AVENUE 8,1.0,2801.0,,560721,64554629.0,karen.ling@healthwaymedical.com,
201500000151,SS20150222,OPTIQUE@HG PTE. LTD.,OS,Optical Shop,682.0,HOUGANG AVENUE 4,1.0,370.0,,530682,67023766.0,optiqueholdings@gmail.com,
201500000150,SS20150223,OPTIQUE@JW PTE. LTD.,OS,Optical Shop,502.0,JURONG WEST AVENUE 1,1.0,815.0,,640502,65671137.0,optiqueholdings@gmail.com,
201500000149,NT0560,MY FIRST SKOOL,CC,Childcare Centre,,PASIR RIS STREET 51,2.0,593.0,,513524,66349989.0,INFO@MYFIRSTSKOOL.COM,
201500000147,NT0559,MY FIRST SKOOL,CC,Childcare Centre,678.0,WOODLANDS AVENUE 6,2.0,724.0,,730678,66349989.0,info@myfirstskool.com,
201500000146,ST0148,PCF SPARKLETOTS PRESCHOOL @ CANBERRA BLK 413 (CC),CC,Childcare Centre,413.0,SEMBAWANG DRIVE,1.0,712.0,,750413,65552078.0,Kang.Lee.Kung@pcf.org.sg,
201500000145,PT9123,JUS INFANTS @ EAST COAST PTE. LTD.,CC,Childcare Centre,715.0,EAST COAST ROAD,,,,459067,86860777.0,stephanielee@jusinfants.com,
201500000141,PT9598,DREAMKIDS KINDERGARTEN @ EAST GATE PTE LTD,KN,Kindergarten,46.0,46 EAST COAST ROAD,1.0,3.0,EASTGATE,428766,81021249.0,dawn@dreamkids.com.sg,
201500000140,PT9122,CHILDTIME CARE & DEVELOPMENT CENTRE PTE.LTD.,CC,Childcare Centre,21.0,WOODLANDS CLOSE,1.0,1.0,PRIMZ BIZHUB,737854,63974988.0,principal.wdl@mulberrylearning.com,
201500000137,ST0147,PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 415 (CC),CC,Childcare Centre,415.0,ANG MO KIO AVENUE 10,1.0,967.0,,560415,64597789.0,M.suseela@pcf.org.sg,
201500000136,SS20150237,VISION 27,OS,Optical Shop,,TAMPINES ST 23,1.0,98.0,,527201,65874568.0,vision27sg@gmail.com,
201500000135,PT9121,LITTLE KINDER MONTESSORI LLP,CC,Childcare Centre,55.0,CHU LIN ROAD,,,BAMBOO GROVE PARK,669949,69526471.0,principal@littlekindermontessori.com,
201500000134,PT9120,STAR LEARNERS @ RIVERVALE PTE LTD,CC,Childcare Centre,195.0,RIVERVALE DRIVE,1.0,743.0,,540195,62500173.0,mengwei.tan@starlearners.com.sg,
201500000131,15D0080,ADVANCED DENTAL CLINIC JURONG WEST PTE LTD,HC,Healthcare Institution,498.0,JURONG WEST STREET 41,1.0,482.0,,640498,65650054.0,,
201500000129,PT9119,SUNSHINE KIDS CARE CENTRE @ TAMPINES PTE. LTD.,CC,Childcare Centre,,TAMPINES CENTRAL 8,1.0,11.0,,521519,64836828.0,sunshinekidstamp@singnet.com.sg,
201500000126,15X0073,BJIOS IMAGING,HC,Healthcare Institution,1.0,FARRER PARK STATION ROAD,13.0,,CONNEXION,217562,69086933.0,,
201500000125,PT9118,SAFARI HOUSE PRESCHOOL WOODLANDS,CC,Childcare Centre,11.0,WOODLANDS CLOSE,1.0,25.0,WOODLANDS 11,737853,62620098.0,wl@safarihouse.com,
201500000124,PT9117,BUSY BEES SINGAPORE PTE LTD,CC,Childcare Centre,,ANCHORVALE ROAD,1.0,322.0,,542327,67021937.0,nazyraabdulrashid@smallwonder.com.sg,
201500000123,PT9116,STAR LEARNERS @ WOODLANDS PTE LTD,CC,Childcare Centre,11.0,WOODLANDS CLOSE,1.0,22.0,WOODLANDS 11,737853,62500173.0,mengwei.tan@starlearners.com.sg,
201500000119,PT9115,HUDA CHILDCARE (WOODLANDS11) PTE. LTD.,CC,Childcare Centre,11.0,WOODLANDS CLOSE,1.0,19.0,WOODLANDS 11,737853,63343119.0,SSAM97@HOTMAIL.COM,
201500000118,15D0068,LUMINOUS DENTAL CLINIC @ BEDOK POINT,HC,Healthcare Institution,799.0,NEW UPPER CHANGI ROAD,3.0,27.0,BEDOK POINT,467351,64811618.0,lumindental@hotmail.com,
201500000116,PT9114,ETONHOUSE BILINGUAL PRE-SCHOOL PTE. LTD.,CC,Childcare Centre,215.0,UPPER BUKIT TIMAH ROAD,,,COURTAULDS HOUSE,588184,67623322.0,215bt@etonhouse.edu.sg,
201500000113,PT9113,ICHIBAN MONTESSORI CHILDCARE CENTRE (SEGAR) PTE. LTD,CC,Childcare Centre,,SEGAR ROAD,1.0,67.0,,671546,63699692.0,icb_631@yahoo.com,
201500000112,NT0558,MY FIRST SKOOL,CC,Childcare Centre,756.0,JURONG WEST STREET 74,1.0,68.0,,640756,66349989.0,info@myfirstskool.com,
