"seq_no","instn_code","instn_name","instn_srvc_type_cde","instn_srvc_type","instn_blk_hse_no","instn_street_name","instn_flr_no","instn_unit_no","instn_bldg_name","instn_pc","instn_ofc_no","instn_email","ap_user_name"
"201500000347","PT9156","LITTLE FOOTPRINTS PRESCHOOL PTE LTD","CC","Childcare Centre","107D","EDGEFIELD PLAINS","na","na","na","824107","62436650","urmila.rai@littlefootprints.com.sg","na"
"201500000345","PT9154","ICHIBAN MONTESSORI CHILDCARE CENTRE (PURVIS) PTE. LTD.","CC","Childcare Centre","17","PURVIS STREET","01","01","na","188596","63339392","icb_631@yahoo.com","na"
"201500000343","15M0216","PANHEALTH FAMILY CLINIC","HC","Healthcare Institution","312B","SUMANG LINK","01","03","na","822312","69660595","na","na"
"201500000344","15D0215","TOA PAYOH DENTAL CENTRE","HC","Healthcare Institution","107","LORONG 1 TOA PAYOH","01","258","na","310107","62501493","na","na"
"201500000341","15D0213","PURE DENTAL STUDIO","HC","Healthcare Institution","190","LORONG 6 TOA PAYOH","01","572","na","310190","94387600","studio@puredentalpractice.com","na"
"201500000339","YM0157","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","52","LENGKOK BAHRU","01","301","na","150052","64733109","cclke@myworld.org.sg","na"
"201500000338","PT9153","LITTLE FOOTPRINTS PRESCHOOL PTE LTD","CC","Childcare Centre","260D","SENGKANG EAST WAY","01","468","na","544260","62436640","a.rajeswary@littlefootprints.com.sg","na"
"201500000336","15M0211","ACUMED MEDICAL GROUP","HC","Healthcare Institution","1","JOO KOON CIRCLE","01","23","FAIRPRICE HUB","629117","68615755","na","na"
"201500000335","ST0153","PCF SPARKLETOTS PRESCHOOL @ TAMAN JURONG BLK 161 (CC)","CC","Childcare Centre","161","YUNG PING ROAD","01","35","na","610161","62686016","Carole.SeePG@pcf.org.sg","na"
"201500000334","RC1769","WHOLE CHILD NURTURE CENTRE","CC","Childcare Centre","430C","FERNVALE LINK","01","243","na","793430","62864298","PRINCIPALPRESCHOOL@KAMPUNGSENANG.ORG","na"
"201500000333","15D0208","UNITY DENTICARE","HC","Healthcare Institution","301","UPPER THOMSON ROAD","#02","12","THOMSON PLAZA","574408","63366222","DC_license@ntuchealth.sg","na"
"201500000328","15D0204","TRIPOD DENTAL CLINIC","HC","Healthcare Institution","5","UPPER BOON KENG ROAD","01","18","MULTI STOREY CAR PARK","380005","66357993","tripod.dentalclinic@gmail.com","na"
"201500000332","15C0201","TSD DENTAL GROUP (PRIMECARE)","HC","Healthcare Institution","681","HOUGANG AVENUE 8","01","823","na","530681","63868136","na","na"
"201500000323","ST0152","PCF SPARKLETOTS PRESCHOOL @ZHENGHUA BLK 550B (CC)","CC","Childcare Centre","550B","SEGAR ROAD","01","628","na","672550","67104138","NG.LIAN.SEE@PCF.ORG.SG","na"
"201500000319","SS20150056","AEROV PTE LTD","OS","Optical Shop","6","SIN MING ROAD","01","18","SIN MING PLAZA","575585","62614700","brian@aerov.com.sg","na"
"201500000317","15C0194","ALEXANDER DENTAL ASSOCIATES","HC","Healthcare Institution","304","ORCHARD ROAD","05","30","LUCKY PLAZA","238863","67320107","dr.audrey.alexander@gmail.com","na"
"201500000315","15D0192","TSD DENTAL GROUP (TAMPINES)","HC","Healthcare Institution","20","TAMPINES CENTRAL 1","01","07","TAMPINES MRT STATION","529538","67895488","na","na"
"201500000311","15M0188","SMG SPECIALIST CENTRE","HC","Healthcare Institution","290","ORCHARD ROAD","16","12","THE PARAGON","238859","62352152","sspc@smg.sg","na"
"201500000308","YM0156","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","350B","CANBERRA ROAD","01","221","na","752350","64815569","cccbr@myworld.org.sg","na"
"201500000307","SS20150068","VISION LAB EYEWEAR PTE LTD","OS","Optical Shop","30","SEMBAWANG DRIVE","B1","19","SUN PLAZA","757713","65556559","jingyi@visionlabeyewear.com.sg","na"
"201500000306","SS20150069","VISION LAB EYEWEAR PTE LTD","OS","Optical Shop","709","ANG MO KIO AVENUE 8","01","2597","na","560709","64580025","jingyi@visionlabeyewear.com.sg","na"
"201500000303","15M0182","SENNETT MEDICAL CLINIC","HC","Healthcare Institution","55","SIGLAP ROAD","#B1","10","SIGLAP CENTRE","455871","62800670","sennettmedicalclinic@gmail.com","na"
"201500000301","15C0173","TSD DENTAL GROUP (YISHUN)","HC","Healthcare Institution","747","YISHUN STREET 72","01","100","na","760747","67582112","na","na"
"201500000290","15M0171","ONECARE CLINIC BUKIT BATOK","HC","Healthcare Institution","630","BUKIT BATOK CENTRAL","01","148","na","650630","65636913","onecare.bukitbatok@gmail.com","na"
"201500000300","15C0175","TSD DENTAL GROUP (HOUGANG)","HC","Healthcare Institution","809","HOUGANG CENTRAL","01","166","na","530809","63851733","na","na"
"201500000299","15C0174","TSD DENTAL GROUP (CCK306)","HC","Healthcare Institution","306","CHOA CHU KANG AVENUE 4","01","683","na","680306","64623349","na","na"
"201500000295","15M0180","RAFFLESMEDICAL","HC","Healthcare Institution","1","SCOTTS ROAD","04","09 to","SHAW CENTRE","228208","68380080","shawcentre@rafflesmedical.com","na"
"201500000288","SS20150087","V'SION CO. EYEWEAR LLP","OS","Optical Shop","1","JELEBU ROAD","01","05","BUKIT PANJANG PLAZA","677743","67540980","andreagoh@live.com.sg","na"
"201500000287","SS20150088","GO EYECARE (PASIR RIS) PTE. LTD.","OS","Optical Shop","443","PASIR RIS DRIVE 6","01","18","na","510443","65817677","na","na"
"201500000286","EP15100","SG REHAB PTE LTD","EI","Early Intervention Programmes","316","TANGLIN ROAD","02","01","na","247978","68010664","admin@sgrehab.com","na"
"201500000285","SS20150090","MAGICAL EYE CARE","OS","Optical Shop","123","BUKIT MERAH LANE 1","01","102","na","150123","68780098","magicaleyecare@gmail.com","na"
"201500000281","15M0168","HEARTLAND FAMILY CLINIC","HC","Healthcare Institution","333C","YISHUN STREET 31","01","167","na","763333","62500655","enquiry@heartlandfamilyclinic.sg","na"
"201500000108","PT9610","AL-NASRY@SENGKANG SOUTH KINDERGARTEN","KN","Kindergarten","552","HOUGANG STREET 51","B1","296","na","530552","90223305","adleenazree@nigelherbs.com","na"
"201500000107","PT9583","QUAYSIDE ISLE PREPARATORY SCHOOL","KN","Kindergarten","31","OCEAN WAY","01","17","QUAYSIDE ISLE","098375","62357527","oprokazova@quips.edu.sg","na"
"201500000106","YM0154","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","725","WOODLANDS AVENUE 6","01","494","na","730725","63622913","ccwlds.circle@myworld.org.sg","na"
"201500000105","PT9111","ICHIBAN (NOBLE) CHILDCARE PTE. LTD.","CC","Childcare Centre","8","YUNNAN WALK 2","na","na","na","638139","67953158","ICHIBANYUNNANCHILDCARE@GMAIL.COM","na"
"201500000104","PT9110","BRIGHT SPARKS CHILDCARE LLP","CC","Childcare Centre","401","WOODLANDS STREET 41","01","30","na","730401","63630264","brightsparks2512@gmail.com","na"
"201500000103","PT9109","LIGHTHOUSE EDUCARE PTE LTD","CC","Childcare Centre","21","WOODLANDS CLOSE","01","13","na","737854","63699572","info@jollyowlsh.com","na"
"201500000102","NT0557","MY FIRST SKOOL","CC","Childcare Centre","312C","SUMANG LINK","01","163","na","823312","66349989","INFO@MYFIRSTSKOOL.COM","na"
"201500000101","15D0061","RAFFLESDENTAL","HC","Healthcare Institution","6","RAFFLES BOULEVARD","01","212","MARINA SQUARE","039594","63397800","dental_admin@raffleshospital.com","na"
"201500000099","MCPHA1500060","GUARDIAN PHARMACY (SUN PLAZA 2)","PH","Pharmacy","30","SEMBAWANG DRIVE","B1","11","SUN PLAZA","757713","62578939","na","na"
"201500000096","15D0059","ADVANCED DENTAL TOA PAYOH","HC","Healthcare Institution","19","LORONG 7 TOA PAYOH","01","270","na","310019","63975411","na","na"
"201500000095","RC1765","BETHEL CHILD DEVELOPMENT CENTRE","CC","Childcare Centre","111","ALJUNIED CRESCENT","01","110","na","380111","68469287","bcdcsupervisor@bethelcs.org.sg","na"
"201500000093","RC1764","PLAYSCAPES@4PM","CC","Childcare Centre","606","BEDOK RESERVOIR ROAD","01","736","na","470606","62420395","secretariat@4pm.org.sg","na"
"201500000090","15D0053","THE DENTAL STUDIO","HC","Healthcare Institution","6A","SHENTON WAY","#02","17/18","na","068815","62213837","oue@dentalstudio.sg","na"
"201500000089","15M0056","EAGLE EYE CENTRE","HC","Healthcare Institution","9","KING ALBERT PARK","01","42/43","KAP RESIDENCES MALL","598332","64751000","na","na"
"201500000258","PT9143","EDUGARDEN DISCOVERY PTE. LTD.","CC","Childcare Centre","429","JURONG WEST AVENUE 1","01","310","na","640429","68973938","edugarden@singnet.com.sg","na"
"201500000256","15D0154","MYSMILE DENTAL CLINIC","HC","Healthcare Institution","108","HOUGANG AVENUE 1","01","1307","na","530108","62808140","na","na"
"201500000251","RC1767","NEW LIFE COMMUNITY SERVICES","CC","Childcare Centre","580","WOODLANDS DRIVE 16","01","582","na","730580","68920013","enquiry.wdlcc@newlife.org.sg","na"
"201500000250","15D0151","SIMPLY DENTAL","HC","Healthcare Institution","212","LORONG 8 TOA PAYOH","01","35","na","310212","62500129","na","na"
"201500000244","15C0147","MISSION (HOUGANG) MEDICAL CLINIC","HC","Healthcare Institution","356","HOUGANG AVE 7","01","799","na","530356","62814567","na","na"
"201500000242","15M0146","ISLAND FAMILY CLINIC (SENGKANG)","HC","Healthcare Institution","279","SENGKANG EAST AVENUE","01","05","na","540279","63842759","ifcsengkang@gmail.com","na"
"201500000240","SK0004","SKOOL4KIDZ CENTRE","CC","Childcare Centre","430A","YISHUN AVENUE 11","01","376","na","761430","67105137","YISHUNCC@SKOOL4KIDZ.COM.SG","na"
"201500000239","15D0140","NEO SMILES DENTAL STUDIO","HC","Healthcare Institution","214","BEDOK NORTH STREET 1","01","153","na","460214","64810800","hello@neosmiles.com.sg","na"
"201500000237","15D0139","EPISMILE (BT BATOK) DENTAL GROUP PTE LTD","HC","Healthcare Institution","275","BUKIT BATOK EAST AVENUE 4","01","130","na","650275","66659300","jeekuan71@gmail.com","na"
"201500000238","15D0142","LVDA DENTAL CENTRE","HC","Healthcare Institution","225A","UPPER THOMSON ROAD","na","na","na","574357","64520498","na","na"
"201500000234","15D0137","Q & M DENTAL SURGERY (BEDOK)","HC","Healthcare Institution","311","NEW UPPER CHANGI ROAD","02","01","BEDOK MALL","467360","63846288","na","na"
"201500000232","PT9585","CEDAN KINDERGARTEN","KN","Kindergarten","198","PUNGGOL FIELD","02","2","na","820198","98567589","enquiry@cedankindergarten.com.sg","na"
"201500000222","PT9140","STAR LEARNERS @ BOON KENG PTE. LTD.","CC","Childcare Centre","5","BOON KENG ROAD","01","84","na","330005","62500173","mengwei.tan@starlearners.com.sg","na"
"201500000220","15M0124","RAFFLESMEDICAL","HC","Healthcare Institution","585","NORTH BRIDGE ROAD","na","na","LEVEL 2, RAFFLES HOSPITAL","188770","63112233","bugis@rafflesmedical.com","na"
"201500000219","15M0125","RAFFLES EXECUTIVE MEDICAL CENTRE","HC","Healthcare Institution","585","NORTH BRIDGE ROAD","na","na","LEVEL 12, RAFFLES HOSPITAL","188770","63112288","remc@rafflesmedical.com","na"
"201500000215","PT9139","MLC (BISHAN) PTE. LTD.","CC","Childcare Centre","201","BISHAN STREET 23","01","467","na","570201","64559677","admin201@mylittlecampus.com.sg","na"
"201500000214","PT9138","MLC (CANBERRA) PTE. LTD.","CC","Childcare Centre","482","ADMIRALTY LINK","01","01","na","750482","67535332","admin482@mylittlecampus.com.sg","na"
"201500000210","YM0155","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","281B","SENGKANG EAST AVENUE","01","605","na","542281","63842870","cccpv.ancilla@myworld.org.sg","na"
"201500000208","PT9137","MLC (SEMBAWANG) PTE. LTD.","CC","Childcare Centre","406","SEMBAWANG DRIVE","01","828","na","750406","67552278","admin406@mylittlecampus.com.sg","na"
"201500000209","ST0151","PCF SPARKLETOTS PRESCHOOL @ CHONG PANG BLK 277 (CC)","CC","Childcare Centre","277","YISHUN STREET 22","01","294","na","760277","67563057","ho.sau.kuen@pcf.org.sg","na"
"201500000207","PT9136","MLC (WELLINGTON) PTE. LTD.","CC","Childcare Centre","511","CANBERRA ROAD","03","01","SEMBAWANG MART","750511","68533089","admin511@mylittlecampus.com.sg","na"
"201500000206","PT9135","MLC (YISHUN) PTE. LTD.","CC","Childcare Centre","849","YISHUN RING ROAD","02","3701","na","760849","67561669","admin849@mylittlecampus.com.sg","na"
"201500000205","PT9134","MLC (PASIR RIS) PTE. LTD","CC","Childcare Centre","735","PASIR RIS STREET 72","02","344","PASIR RIS WEST PLAZA","510735","65824898","admin735@mylittlecampus.com.sg","na"
"201500000204","PT9133","POSSO PRESCHOOL @ BIG BOX PTE. LTD.","CC","Childcare Centre","1","VENTURE AVENUE","04","11","BIG BOX","608521","86879980","charmaine.ng@POSSOPRESCHOOL.COM","na"
"201500000200","15M0115","RAFFLESMEDICAL","HC","Healthcare Institution","3","SIMEI STREET 6","02","27","EASTPOINT MALL","528833","66361458","eastpoint@rafflesmedical.com","na"
"201500000198","RC1766","KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE","CC","Childcare Centre","663C","JURONG WEST STREET 65","01","237","na","643663","63165103","jurongwest.chc@merculearning.com","na"
"201500000197","PT9131","ICHIBAN MONTESSORI CHILDCARE CENTRE (FERNVALE) PTE. LTD.","CC","Childcare Centre","439","SENGKANG WEST AVENUE","01","01","na","790439","66349138","icb_631@yahoo.com","na"
"201500000196","PT9130","MINDCHAMPS PRESCHOOL @JUNCTION 10 PTE LIMITED","CC","Childcare Centre","1","WOODLANDS ROAD","02","15","THE TENNERY","677899","67672381","michelleseow@mindchamps.org","na"
"201500000195","15D0114","Q & M DENTAL SURGERY (PASIR RIS MRT)","HC","Healthcare Institution","10","PASIR RIS CENTRAL","01","22","PASIR RIS MRT STATION","519634","65838313","na","na"
"201500000194","15M0113","PROCROSS MEDICAL CLINIC","HC","Healthcare Institution","689A","WOODLANDS DRIVE 75","01","86","na","731689","62199648","calebho79@hotmail.com","na"
"201500000192","15D0111","ADVENT DENTAL SURGERY PTE. LTD.","HC","Healthcare Institution","530A","JURONG WEST AVENUE 1","01","907","na","641530","66596778","drsharonleng@gmail.com","na"
"201500000193","15D0112","THE BRACES PRACTICE","HC","Healthcare Institution","12A","LORONG MAMBONG","na","na","HOLLAND VILLAGE","277676","64632306","na","na"
"201500000186","SS20150188","INFINITY OPTICAL","OS","Optical Shop","683","TESSENSOHN ROAD","01","33","na","210683","63415313","infinityop@yahoo.com.sg","na"
"201500000179","PT9129","GLOBALKIDS EDU PTE LTD","CC","Childcare Centre","19","SERANGOON NORTH AVENUE 5","03","03","na","554913","64811389","discoveryglobalkids@gmail.com","na"
"201500000176","15M0102","DR. TAN & PARTNERS @ SCOTTS","HC","Healthcare Institution","9","SCOTTS ROAD","06","06","PACIFIC PLAZA","228210","66942348","JUSTINS11@DRTANANDPARTNERS.COM","na"
"201500000172","15D0099","JESSELTON DENTAL CENTRE","HC","Healthcare Institution","9","SCOTTS ROAD","06","05","PACIFIC PLAZA","228210","67342234","info@jesseltondentalcentre.com","na"
"201500000173","15D0096","NUFFIELD DENTAL SIGLAP PRIVATE LIMITED","HC","Healthcare Institution","914","EAST COAST ROAD","01","03","THE DOMAIN","459108","66361303","siglap@nuffieldheathcare.com.sg","na"
"201500000170","PT9128","ICHIBAN MONTESSORI CHILDCARE CENTRE (CCK) PTE LTD","CC","Childcare Centre","427","CHOA CHU KANG AVENUE 4","na","na","na","680427","67655957","icb_631@yahoo.com","na"
"201500000169","PT9127","BUSY BEES SINGAPORE PTE.LTD","CC","Childcare Centre","6","SERANGOON NORTH AVENUE 5","02","01","na","554910","62579201","karenlee@smallwonder.com.sg","na"
"201500000167","MCPH11500182","WATSON'S PERSONAL CARE STORES PTE LTD (VIVO CITY)","PH","Pharmacy","1","HARBOURFRONT WALK","B2","15/16","VIVO CITY","098585","63768084","187@watsons.com.sg","na"
"201500000166","CPE318992","MELBOURNE SPECIALIST INTERNATIONAL SCHOOL PTE LTD","KP","CPE Kindergarten","970","TOA PAYOH NORTH","06","01","na","318992","62554230","finance@whitelodge.com.sg","na"
"201500000164","PT9125","TOTS N TOYS PTE LTD","CC","Childcare Centre","16","BOON LAY WAY","01","40","TRADEHUB 21","609965","83229228","ENQUIRY@TOTSNTOYS.COM.SG","na"
"201500000161","15M0092","NUFFIELD MEDICAL SIGLAP","HC","Healthcare Institution","914","EAST COAST ROAD","01","03","THE DOMAIN","459108","66363083","siglap@nuffieldmedical.com.sg","na"
"201500000160","ST0150","PCF SPARKLETOTS PRESCHOOL @ SEMBAWANG BLK 780D (CC)","CC","Childcare Centre","780D","WOODLANDS CRESCENT","01","65","na","734780","63975675","Cindy.Sim@pcf.org.sg","na"
"201500000159","ST0149","PCF SPARKLETOTS PRESCHOOL @ GAMBAS BLK 333D (CC)","CC","Childcare Centre","333D","YISHUN STREET 31","01","151","na","764333","67107550","bintus.sadaa.binte.abdul.talib@pcf.org.sg","na"
"201500000158","PT9124","SUPERLAND PRE-SCHOOL (OUTRAM) PTE LTD","CC","Childcare Centre","240","OUTRAM ROAD","na","na","na","169043","62215110","outram@superland.sg","na"
"201500000155","15D0091","DENTAL FOCUS JURONG WEST CLINIC","HC","Healthcare Institution","959","JURONG WEST STREET 92","01","162","na","640959","67913189","PIONEER@SMILESDFI.COM","na"
"201500000152","15D0087","HEALTHWAY DENTAL","HC","Healthcare Institution","721","ANG MO KIO AVENUE 8","01","2801","na","560721","64554629","karen.ling@healthwaymedical.com","na"
"201500000151","SS20150222","OPTIQUE@HG PTE. LTD.","OS","Optical Shop","682","HOUGANG AVENUE 4","01","370","na","530682","67023766","optiqueholdings@gmail.com","na"
"201500000150","SS20150223","OPTIQUE@JW PTE. LTD.","OS","Optical Shop","502","JURONG WEST AVENUE 1","01","815","na","640502","65671137","optiqueholdings@gmail.com","na"
"201500000149","NT0560","MY FIRST SKOOL","CC","Childcare Centre","524C","PASIR RIS STREET 51","02","593","na","513524","66349989","INFO@MYFIRSTSKOOL.COM","na"
"201500000147","NT0559","MY FIRST SKOOL","CC","Childcare Centre","678","WOODLANDS AVENUE 6","02","724","na","730678","66349989","info@myfirstskool.com","na"
"201500000146","ST0148","PCF SPARKLETOTS PRESCHOOL @ CANBERRA BLK 413 (CC)","CC","Childcare Centre","413","SEMBAWANG DRIVE","01","712","na","750413","65552078","Kang.Lee.Kung@pcf.org.sg","na"
"201500000145","PT9123","JUS INFANTS @ EAST COAST PTE. LTD.","CC","Childcare Centre","715","EAST COAST ROAD","na","na","na","459067","86860777","stephanielee@jusinfants.com","na"
"201500000141","PT9598","DREAMKIDS KINDERGARTEN @ EAST GATE PTE LTD","KN","Kindergarten","46","46 EAST COAST ROAD","01","03","EASTGATE","428766","81021249","dawn@dreamkids.com.sg","na"
"201500000140","PT9122","CHILDTIME CARE & DEVELOPMENT CENTRE PTE.LTD.","CC","Childcare Centre","21","WOODLANDS CLOSE","01","01","PRIMZ BIZHUB","737854","63974988","principal.wdl@mulberrylearning.com","na"
"201500000137","ST0147","PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 415 (CC)","CC","Childcare Centre","415","ANG MO KIO AVENUE 10","01","967","na","560415","64597789","M.suseela@pcf.org.sg","na"
"201500000136","SS20150237","VISION 27","OS","Optical Shop","201E","TAMPINES ST 23","01","98","na","527201","65874568","vision27sg@gmail.com","na"
"201500000135","PT9121","LITTLE KINDER MONTESSORI LLP","CC","Childcare Centre","55","CHU LIN ROAD","na","na","BAMBOO GROVE PARK","669949","69526471","principal@littlekindermontessori.com","na"
"201500000134","PT9120","STAR LEARNERS @ RIVERVALE PTE LTD","CC","Childcare Centre","195","RIVERVALE DRIVE","01","743","na","540195","62500173","mengwei.tan@starlearners.com.sg","na"
"201500000131","15D0080","ADVANCED DENTAL CLINIC JURONG WEST PTE LTD","HC","Healthcare Institution","498","JURONG WEST STREET 41","01","482","na","640498","65650054","na","na"
"201500000129","PT9119","SUNSHINE KIDS CARE CENTRE @ TAMPINES PTE. LTD.","CC","Childcare Centre","519A","TAMPINES CENTRAL 8","01","11","na","521519","64836828","sunshinekidstamp@singnet.com.sg","na"
"201500000126","15X0073","BJIOS IMAGING","HC","Healthcare Institution","1","FARRER PARK STATION ROAD","13","15/16","CONNEXION","217562","69086933","na","na"
"201500000125","PT9118","SAFARI HOUSE PRESCHOOL WOODLANDS","CC","Childcare Centre","11","WOODLANDS CLOSE","01","25","WOODLANDS 11","737853","62620098","wl@safarihouse.com","na"
"201500000124","PT9117","BUSY BEES SINGAPORE PTE LTD","CC","Childcare Centre","327B","ANCHORVALE ROAD","01","322","na","542327","67021937","nazyraabdulrashid@smallwonder.com.sg","na"
"201500000123","PT9116","STAR LEARNERS @ WOODLANDS PTE LTD","CC","Childcare Centre","11","WOODLANDS CLOSE","01","22","WOODLANDS 11","737853","62500173","mengwei.tan@starlearners.com.sg","na"
"201500000119","PT9115","HUDA CHILDCARE (WOODLANDS11) PTE. LTD.","CC","Childcare Centre","11","WOODLANDS CLOSE","01","19","WOODLANDS 11","737853","63343119","SSAM97@HOTMAIL.COM","na"
"201500000118","15D0068","LUMINOUS DENTAL CLINIC @ BEDOK POINT","HC","Healthcare Institution","799","NEW UPPER CHANGI ROAD","03","27","BEDOK POINT","467351","64811618","lumindental@hotmail.com","na"
"201500000116","PT9114","ETONHOUSE BILINGUAL PRE-SCHOOL PTE. LTD.","CC","Childcare Centre","215","UPPER BUKIT TIMAH ROAD","na","na","COURTAULDS HOUSE","588184","67623322","215bt@etonhouse.edu.sg","na"
"201500000113","PT9113","ICHIBAN MONTESSORI CHILDCARE CENTRE (SEGAR) PTE. LTD","CC","Childcare Centre","546A","SEGAR ROAD","01","67","na","671546","63699692","icb_631@yahoo.com","na"
"201500000112","NT0558","MY FIRST SKOOL","CC","Childcare Centre","756","JURONG WEST STREET 74","01","68","na","640756","66349989","info@myfirstskool.com","na"
"201500000109","PT9112","BERRY TREE PRESCHOOL@SEMBAWANG PRIVATE LIMITED","CC","Childcare Centre","511","CANBERRA ROAD","03","02","SEMBAWANG MART","750511","65554740","yywp5656@gmail.com","na"
"201500000019","SS20150354","OKE OPTICAL","OS","Optical Shop","163","ANG MO KIO AVENUE 4","01","434","na","560163","64514909","wpohwah@yahoo.com.sg","na"
"201500000018","PT9711","RAFFLES MONTESSORI KINDERGARTEN (ALJUNIED)","KN","Kindergarten","46C","LORONG 23 GEYLANG","4","na","FANSIDA BUILDING","388375","67452722","bluehouselearning@gmail.com","na"
